------------------------------------------------------------------------------------
Process Automation : Mon_Nov_20_15.57.29_2023
------------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': '0.05859375 MB'}
{'name': 'SystemSettingsBroker.exe', 'pid': 3420, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '8.5859375 MB'}
{'name': 'svchost.exe', 'pid': 3440, 'username': None, 'vms': '1.32421875 MB'}
{'name': 'igfxCUIService.exe', 'pid': 3464, 'username': None, 'vms': '2.05859375 MB'}
{'name': 'svchost.exe', 'pid': 3536, 'username': None, 'vms': '2.5390625 MB'}
{'name': 'svchost.exe', 'pid': 3548, 'username': None, 'vms': '1.71484375 MB'}
{'name': 'svchost.exe', 'pid': 3624, 'username': None, 'vms': '10.91015625 MB'}
{'name': 'svchost.exe', 'pid': 3732, 'username': None, 'vms': '4.2109375 MB'}
{'name': 'svchost.exe', 'pid': 3788, 'username': None, 'vms': '1.41015625 MB'}
{'name': 'NVDisplay.Container.exe', 'pid': 3840, 'username': None, 'vms': '35.48046875 MB'}
{'name': 'svchost.exe', 'pid': 3888, 'username': None, 'vms': '2.58203125 MB'}
{'name': 'svchost.exe', 'pid': 3896, 'username': None, 'vms': '2.76953125 MB'}
{'name': 'svchost.exe', 'pid': 3904, 'username': None, 'vms': '3.39453125 MB'}
{'name': 'svchost.exe', 'pid': 3920, 'username': None, 'vms': '8.1875 MB'}
{'name': 'svchost.exe', 'pid': 3928, 'username': None, 'vms': '3.4453125 MB'}
{'name': 'WhatsApp.exe', 'pid': 3964, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '66.671875 MB'}
{'name': 'svchost.exe', 'pid': 3980, 'username': None, 'vms': '1.68359375 MB'}
{'name': 'chrome.exe', 'pid': 4100, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '12.1015625 MB'}
{'name': 'svchost.exe', 'pid': 4176, 'username': None, 'vms': '1.91015625 MB'}
{'name': 'svchost.exe', 'pid': 4184, 'username': None, 'vms': '3.56640625 MB'}
{'name': 'Code.exe', 'pid': 4200, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '164.53125 MB'}
{'name': 'RuntimeBroker.exe', 'pid': 4232, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '1.40234375 MB'}
{'name': 'svchost.exe', 'pid': 4276, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '3.7578125 MB'}
{'name': 'svchost.exe', 'pid': 4324, 'username': None, 'vms': '8.77734375 MB'}
{'name': 'svchost.exe', 'pid': 4352, 'username': None, 'vms': '2.56640625 MB'}
{'name': 'AsusOptimization.exe', 'pid': 4380, 'username': None, 'vms': '2.3671875 MB'}
{'name': 'chrome.exe', 'pid': 4400, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '77.58984375 MB'}
{'name': 'spoolsv.exe', 'pid': 4544, 'username': None, 'vms': '5.40234375 MB'}
{'name': 'backgroundTaskHost.exe', 'pid': 4592, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '17.6484375 MB'}
{'name': 'svchost.exe', 'pid': 4704, 'username': None, 'vms': '14.02734375 MB'}
{'name': 'Microsoft.SharePoint.exe', 'pid': 4728, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '16.20703125 MB'}
{'name': 'Code.exe', 'pid': 4844, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '21.1953125 MB'}
{'name': 'svchost.exe', 'pid': 4856, 'username': None, 'vms': '1.92578125 MB'}
{'name': 'WmiPrvSE.exe', 'pid': 4864, 'username': None, 'vms': '3.1484375 MB'}
{'name': 'RtkAudUService64.exe', 'pid': 4896, 'username': None, 'vms': '3.73046875 MB'}
{'name': 'conhost.exe', 'pid': 4964, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '5.19140625 MB'}
{'name': 'wlanext.exe', 'pid': 5052, 'username': None, 'vms': '1.8515625 MB'}
{'name': 'conhost.exe', 'pid': 5068, 'username': None, 'vms': '5.0703125 MB'}
{'name': 'unsecapp.exe', 'pid': 5100, 'username': None, 'vms': '1.5078125 MB'}
{'name': 'svchost.exe', 'pid': 5252, 'username': None, 'vms': '2.80859375 MB'}
{'name': 'svchost.exe', 'pid': 5260, 'username': None, 'vms': '1.19921875 MB'}
